1788515645.328385011	probe_search	selfplay	339236	11	1655704	339224
1788515645.613002123	probe_search	selfplay	339236	11	1657752	339224
1788515645.895176255	probe_search	selfplay	339236	11	1659800	339224
1788515646.181927789	probe_search	selfplay	339236	10	1661848	339224
1788515646.465141200	probe_search	selfplay	339236	10	1662872	339224
1788515646.739871358	probe_search	selfplay	339236	10	1664920	339224
1788515647.012180733	probe_search	selfplay	339236	10	1665944	339224
1788515647.284990670	probe_search	selfplay	339236	10	1667992	339224
1788515647.580464992	probe_search	selfplay	339236	10	1670040	339224
1788515647.865040393	probe_search	selfplay	339236	10	1671064	339224
1788515648.138952264	probe_search	selfplay	339236	10	1672088	339224
1788515648.413774647	probe_search	selfplay	339236	10	1674136	339224
1788515648.688186860	probe_search	selfplay	339236	10	1675160	339224
1788515648.964834065	probe_search	selfplay	339236	10	1677208	339224
1788515649.253403471	probe_search	selfplay	339236	10	1678232	339224
1788515649.540511656	probe_search	selfplay	339236	9	1681304	339224
1788515649.821991332	probe_search	selfplay	339236	9	1682328	339224
1788515650.100344696	probe_search	selfplay	339236	9	1683352	339224
1788515650.376643243	probe_search	selfplay	339236	9	1684376	339224
1788515650.650546677	probe_search	selfplay	339236	9	1685400	339224
1788515650.931021264	probe_search	selfplay	339236	9	1687448	339224
1788515651.207223277	probe_search	selfplay	339236	9	1688472	339224
1788515651.483712690	probe_search	selfplay	339236	9	1689496	339224
1788515651.758795159	probe_search	selfplay	339236	9	1690520	339224
1788515652.038736006	probe_search	selfplay	339236	9	1691544	339224
1788515652.333479751	probe_search	selfplay	339236	9	1692568	339224
1788515652.613374436	probe_search	selfplay	339236	8	1694616	339224
1788515652.895226084	probe_search	selfplay	339236	8	1695640	339224
1788515653.175508528	probe_search	selfplay	339236	8	1696664	339224
1788515653.454047133	probe_search	selfplay	339236	8	1697688	339224
1788515653.727497532	probe_search	selfplay	339236	8	1698712	339224
1788515654.000681548	probe_search	selfplay	339236	8	1699736	339224
1788515654.278909313	probe_search	selfplay	339236	8	1700760	339224
1788515654.550719864	probe_search	selfplay	339236	8	1701784	339224
1788515654.825847730	probe_search	selfplay	339236	8	1701784	339224
1788515655.104833685	probe_search	selfplay	339236	8	1702808	339224
1788515655.388525895	probe_search	selfplay	339236	8	1703832	339224
1788515655.666497743	probe_search	selfplay	339236	8	1704856	339224
1788515655.939088767	probe_search	selfplay	339236	8	1705880	339224
1788515656.215895881	probe_search	selfplay	339236	8	1706904	339224
1788515656.502273326	probe_search	selfplay	339236	8	1707928	339224
1788515656.779872196	probe_search	selfplay	339236	8	1708952	339224
1788515657.052333865	probe_search	selfplay	339236	8	1709976	339224
1788515657.324378328	probe_search	selfplay	339236	8	1711000	339224
1788515657.604526511	probe_search	selfplay	339236	8	1712024	339224
1788515657.886487668	probe_search	selfplay	339236	8	1713048	339224
1788515658.160214712	probe_search	selfplay	339236	8	1714072	339224
1788515658.439683299	probe_search	selfplay	339236	8	1715096	339224
1788515658.717536944	probe_search	selfplay	339236	8	1716120	339224
1788515658.990663211	probe_search	selfplay	339236	8	1717144	339224
1788515659.263069435	probe_search	selfplay	339236	8	1718168	339224
1788515659.535306227	probe_search	selfplay	339236	8	1719192	339224
1788515659.815858646	probe_search	selfplay	339236	8	1720216	339224
1788515660.094646416	probe_search	selfplay	339236	8	1721240	339224
1788515660.371087372	probe_search	selfplay	339236	8	1722264	339224
1788515660.647968476	probe_search	selfplay	339236	8	1723288	339224
1788515660.930114636	probe_search	selfplay	339236	8	1724312	339224
1788515661.213731068	probe_search	selfplay	339236	8	1725336	339224
1788515661.495504824	probe_search	selfplay	339236	8	1726360	339224
1788515661.784683872	probe_search	selfplay	339236	8	1727384	339224
1788515662.071964259	probe_search	selfplay	339236	8	1728408	339224
1788515662.364918867	probe_search	selfplay	339236	8	1729432	339224
1788515662.653727821	probe_search	selfplay	339236	8	1730456	339224
