1788513649.594995960	legA	train	317109	36	2511532
1788513649.594995960	legA	train	322317	36	2654396
1788513649.594995960	legA	train	323223	36	2646076
1788513649.858913442	legA	train	317109	36	2511532
1788513649.858913442	legA	train	322317	36	2654396
1788513649.858913442	legA	train	323223	36	2646076
1788513650.126546373	legA	train	317109	36	2511532
1788513650.126546373	legA	train	322317	36	2654396
1788513650.126546373	legA	train	323223	36	2646076
1788513650.385361382	legA	train	317109	36	2511532
1788513650.385361382	legA	train	322317	36	2654396
1788513650.385361382	legA	train	323223	36	2646076
1788513650.385361382	legA	selfplay	323672	1	1024
1788513650.652450416	legA	train	317109	36	2511532
1788513650.652450416	legA	train	322317	36	2654396
1788513650.652450416	legA	train	323223	36	2646076
1788513650.652450416	legA	selfplay	323672	5	278892
1788513650.916475423	legA	train	317109	36	2511532
1788513650.916475423	legA	train	322317	36	2654396
1788513650.916475423	legA	train	323223	36	2646076
1788513650.916475423	legA	selfplay	323672	5	292204
1788513651.174960167	legA	train	317109	36	2511532
1788513651.174960167	legA	train	322317	36	2654396
1788513651.174960167	legA	train	323223	36	2647100
1788513651.174960167	legA	selfplay	323672	5	304492
1788513651.434999044	legA	train	317109	36	2511532
1788513651.434999044	legA	train	322317	36	2654396
1788513651.434999044	legA	train	323223	36	2647100
1788513651.434999044	legA	selfplay	323672	2	237592
1788513651.703897263	legA	train	317109	36	2511532
1788513651.703897263	legA	train	322317	36	2654396
1788513651.703897263	legA	train	323223	36	2647100
1788513651.703897263	legA	selfplay	323672	2	237592
1788513651.959869238	legA	train	317109	36	2511532
1788513651.959869238	legA	train	322317	36	2654396
1788513651.959869238	legA	train	323223	36	2647100
1788513652.215166749	legA	train	317109	36	2511532
1788513652.215166749	legA	train	322317	36	2654396
1788513652.215166749	legA	train	323223	36	2647100
1788513652.215166749	legA	selfplay	323745	22	563468
1788513652.470429359	legA	train	317109	36	2511532
1788513652.470429359	legA	train	322317	36	2654396
1788513652.470429359	legA	train	323223	36	2647100
1788513652.470429359	legA	selfplay	323745	22	643340
1788513652.729353114	legA	train	317109	36	2511532
1788513652.729353114	legA	train	322317	36	2654396
1788513652.729353114	legA	train	323223	36	2647100
1788513652.729353114	legA	selfplay	323745	22	723212
1788513652.983157442	legA	train	317109	36	2511532
1788513652.983157442	legA	train	322317	36	2654396
1788513652.983157442	legA	train	323223	36	2647100
1788513652.983157442	legA	selfplay	323745	22	800012
1788513653.239548805	legA	train	317109	36	2511532
1788513653.239548805	legA	train	322317	36	2654396
1788513653.239548805	legA	train	323223	36	2647100
1788513653.239548805	legA	selfplay	323745	22	869308
1788513653.499718551	legA	train	317109	36	2511532
1788513653.499718551	legA	train	322317	36	2654396
1788513653.499718551	legA	train	323223	36	2647100
1788513653.499718551	legA	selfplay	323745	22	936768
1788513653.761738782	legA	train	317109	36	2511532
1788513653.761738782	legA	train	322317	36	2654396
1788513653.761738782	legA	train	323223	36	2647100
1788513653.761738782	legA	selfplay	323745	22	1005956
1788513654.020060635	legA	train	317109	36	2511532
1788513654.020060635	legA	train	322317	36	2654396
1788513654.020060635	legA	train	323223	36	2647100
1788513654.020060635	legA	selfplay	323745	22	1069820
1788513654.274261909	legA	train	317109	36	2511532
1788513654.274261909	legA	train	322317	36	2654396
1788513654.274261909	legA	train	323223	36	2647100
1788513654.274261909	legA	selfplay	323745	22	1131496
1788513654.539139781	legA	train	317109	36	2511532
1788513654.539139781	legA	train	322317	36	2654396
1788513654.539139781	legA	train	323223	36	2647100
1788513654.539139781	legA	selfplay	323745	22	1199672
1788513654.802484422	legA	train	317109	36	2511532
1788513654.802484422	legA	train	322317	36	2654396
1788513654.802484422	legA	train	323223	36	2647100
1788513654.802484422	legA	selfplay	323745	22	1261500
1788513655.055933826	legA	train	317109	36	2511532
1788513655.055933826	legA	train	322317	36	2654396
1788513655.055933826	legA	train	323223	36	2647100
1788513655.055933826	legA	selfplay	323745	19	1300292
1788513655.309157043	legA	train	317109	36	2511532
1788513655.309157043	legA	train	322317	36	2654396
1788513655.309157043	legA	train	323223	36	2647100
1788513655.309157043	legA	selfplay	323745	17	1338216
1788513655.571926339	legA	train	317109	36	2511532
1788513655.571926339	legA	train	322317	36	2654396
1788513655.571926339	legA	train	323223	36	2647100
1788513655.571926339	legA	selfplay	323745	14	1357552
1788513655.828712727	legA	train	317109	36	2511532
1788513655.828712727	legA	train	322317	36	2654396
1788513655.828712727	legA	train	323223	36	2647100
1788513655.828712727	legA	selfplay	323745	13	1402512
1788513656.083679604	legA	train	317109	36	2511532
1788513656.083679604	legA	train	322317	36	2654396
1788513656.083679604	legA	train	323223	36	2647100
1788513656.083679604	legA	selfplay	323745	7	1393736
1788513656.335893144	legA	train	317109	36	2511532
1788513656.335893144	legA	train	322317	36	2654396
1788513656.335893144	legA	train	323223	36	2647100
1788513656.335893144	legA	selfplay	323745	6	1396144
1788513656.591728245	legA	train	317109	36	2511532
1788513656.591728245	legA	train	322317	36	2654396
1788513656.591728245	legA	train	323223	36	2647100
1788513656.591728245	legA	selfplay	323745	3	1367764
1788513656.850210936	legA	train	317109	36	2511532
1788513656.850210936	legA	train	322317	36	2654396
1788513656.850210936	legA	train	323223	36	2647100
1788513656.850210936	legA	selfplay	323745	3	1367764
1788513657.108645006	legA	train	317109	36	2511532
1788513657.108645006	legA	train	322317	36	2654396
1788513657.108645006	legA	train	323223	36	2647100
1788513657.108645006	legA	selfplay	323745	3	1367764
1788513657.366362165	legA	train	317109	36	2511532
1788513657.366362165	legA	train	322317	36	2654396
1788513657.366362165	legA	train	323223	36	2647100
1788513657.366362165	legA	selfplay	323745	2	1366668
1788513657.630199479	legA	train	317109	36	2511532
1788513657.630199479	legA	train	322317	36	2654396
1788513657.630199479	legA	train	323223	36	2647100
1788513657.630199479	legA	selfplay	323745	2	864036
1788513657.890362123	legA	train	317109	36	2516652
1788513657.890362123	legA	train	322317	36	2654396
1788513657.890362123	legA	train	323223	36	2647100
1788513657.890362123	legA	selfplay	323745	2	864036
1788513658.145228395	legA	train	317109	36	2516652
